kepler_id,success,output_file,status
4545187,True,lightkurve_data\kepler_4545187_lightkurve.csv,Found existing file
11967004,True,lightkurve_data\kepler_11967004_lightkurve.csv,Found existing file
11547513,True,lightkurve_data\kepler_11547513_lightkurve.csv,Found existing file
8247638,True,lightkurve_data\kepler_8247638_lightkurve.csv,Found existing file
8581658,True,lightkurve_data\kepler_8581658_lightkurve.csv,Found existing file
8242434,True,lightkurve_data\kepler_8242434_lightkurve.csv,Found existing file
5966154,True,lightkurve_data\kepler_5966154_lightkurve.csv,Found existing file
7813039,True,lightkurve_data\kepler_7813039_lightkurve.csv,Found existing file
7287683,True,lightkurve_data\kepler_7287683_lightkurve.csv,Found existing file
10526549,True,lightkurve_data\kepler_10526549_lightkurve.csv,Found existing file
9578686,True,lightkurve_data\kepler_9578686_lightkurve.csv,Found existing file
5794379,True,lightkurve_data\kepler_5794379_lightkurve.csv,Found existing file
6525196,True,lightkurve_data\kepler_6525196_lightkurve.csv,Found existing file
3858884,True,lightkurve_data\kepler_3858884_lightkurve.csv,Found existing file
9527915,True,lightkurve_data\kepler_9527915_lightkurve.csv,Found existing file
12356617,True,lightkurve_data\kepler_12356617_lightkurve.csv,Found existing file
8801343,True,lightkurve_data\kepler_8801343_lightkurve.csv,Found existing file
9143254,True,lightkurve_data\kepler_9143254_lightkurve.csv,Found existing file
9157634,True,lightkurve_data\kepler_9157634_lightkurve.csv,Found existing file
