koi_disposition,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_sma,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_datalink_dvr,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage,koi_kepmag,label,kepid,split,split_label
FALSE POSITIVE,11.52144606,170.839688,2455003.84,0,2.483,3.6399,17984.0,0.0978,83.13,622.1,1,0.154,010/010419/010419211/dv/kplr010419211-20160209194854_dvr.pdf,5795,4.554,0.848,0.938,,15.472,0,10419211,train,0
CANDIDATE,7.203855862,170.285731,2455003.286,0,0.037,2.5418,1765.9,0.0595,89.9,101.1,4,0.2418,005/005364/005364071/dv/kplr005364071-20160209194854_dvr.pdf,3834,4.708,0.539,0.541,,15.264,1,5364071,train,1
CANDIDATE,14.00640392,142.20885,2454975.209,0,0.568,4.6919,716.4,0.1126,88.33,109.3,1,0.0416,008/008107/008107380/dv/kplr008107380-20160209194854_dvr.pdf,5788,4.323,1.124,0.969,,13.837,1,8107380,train,1
FALSE POSITIVE,2.25353739,132.486708,2454965.487,0,0.82,5.74622,182830.0,0.037,78.28,904.8,1,-1.0,007/007137/007137798/dv/kplr007137798-20160209194854_dvr.pdf,6951,4.119,1.662,1.328,,13.451,0,7137798,train,0
CANDIDATE,54.31996151,161.239869,2454994.24,0,0.497,8.5858,1975.0,0.2906,89.36,291.3,4,0.3868,006/006462/006462863/dv/kplr006462863-20160209194854_dvr.pdf,6181,4.234,1.331,1.106,,12.205,1,6462863,train,1
CANDIDATE,161.5278347,198.00137,2455031.001,0,0.0,3.6734,4653.6,0.5874,90.0,54.7,1,0.6892,002/002853/002853093/dv/kplr002853093-20160209194854_dvr.pdf,5778,4.285,1.213,1.033,,15.435,1,2853093,train,1
FALSE POSITIVE,21.12000574,150.128392,2454983.128,0,0.986,2.05573,13054.0,0.1541,88.88,443.9,1,0.1136,009/009786/009786821/dv/kplr009786821-20160209194854_dvr.pdf,6195,4.069,1.598,1.09,,11.51,0,9786821,train,0
FALSE POSITIVE,34.82008158,163.015559,2454996.016,0,0.663,11.1711,18848.0,0.1894,88.26,882.6,1,0.4308,004/004042/004042026/dv/kplr004042026-20160209194854_dvr.pdf,5114,4.522,0.784,0.746,,15.187,0,4042026,train,0
CANDIDATE,31.1588249,173.90355,2455006.904,0,0.029,5.1803,959.0,0.1948,89.97,73.6,2,0.9485,003/003656/003656121/dv/kplr003656121-20160209194854_dvr.pdf,5951,4.319,1.155,1.015,,13.838,1,3656121,train,1
CANDIDATE,30.99664113,191.78502,2455024.785,0,0.791,2.9182,655.3,0.1885,89.14,59.9,1,0.3192,005/005121/005121511/dv/kplr005121511-20160209194854_dvr.pdf,5324,4.544,0.853,0.928,,13.332,1,5121511,train,1
CANDIDATE,10.21418792,170.70466,2455003.705,0,0.016,5.8201,303.8,0.0966,89.93,78.6,1,0.4159,006/006365/006365156/dv/kplr006365156-20160209194854_dvr.pdf,5843,4.25,1.332,1.151,,13.336,1,6365156,train,1
CANDIDATE,2.168451063,132.14107,2454965.141,0,0.207,1.458,466.9,0.0337,88.96,45.5,1,0.8481,010/010854/010854546/dv/kplr010854546-20160209194854_dvr.pdf,6153,4.382,1.109,1.077,,15.141,1,10854546,train,1
CANDIDATE,5.968724048,137.158607,2454970.159,0,0.166,3.651,510.6,0.067,89.25,107.1,2,0.7027,007/007831/007831264/dv/kplr007831264-20160209194854_dvr.pdf,6122,4.173,1.439,1.123,,13.717,1,7831264,train,1
CANDIDATE,24.66461416,189.02031,2455022.02,0,0.8,2.8579,2398.8,0.1582,88.98,56.7,3,0.5678,009/009480/009480189/dv/kplr009480189-20160209194854_dvr.pdf,5188,4.4,0.973,0.868,,15.471,1,9480189,train,1
CANDIDATE,3.525632539,170.0479951,2455003.048,0,0.12,2.59959,22335.0,0.0431,89.41,1996.7,1,0.1434,005/005358/005358624/dv/kplr005358624-20160209194854_dvr.pdf,5150,4.572,0.793,0.855,,15.224,1,5358624,train,1
FALSE POSITIVE,0.958871144,131.6864267,2454964.686,0,0.533,2.74361,232350.0,0.0175,81.91,1191.2,1,-1.0,005/005269/005269407/dv/kplr005269407-20160209194854_dvr.pdf,5530,4.425,0.892,0.773,,14.164,0,5269407,train,0
CANDIDATE,2.628117322,169.718913,2455002.719,0,0.612,1.8289,936.8,0.031,86.15,98.1,2,0.9792,004/004832/004832837/dv/kplr004832837-20160209194854_dvr.pdf,3939,4.705,0.557,0.575,,14.915,1,4832837,train,1
CANDIDATE,5.263415218,174.351207,2455007.351,0,0.853,2.1446,1030.7,0.0612,85.55,117.0,1,0.1912,010/010858/010858832/dv/kplr010858832-20160209194854_dvr.pdf,6099,4.456,1.028,1.098,,14.279,1,10858832,train,1
FALSE POSITIVE,6.282033445,131.590793,2454964.591,0,1.777,8.3777,181790.0,0.0662,78.75,1178.0,1,0.5291,004/004073/004073707/dv/kplr004073707-20160209194854_dvr.pdf,6074,4.45,0.976,0.979,,14.118,0,4073707,train,0
FALSE POSITIVE,552.8295063,484.260879,2455317.261,0,0.653,16.0851,266300.0,1.2226,89.9,942.6,1,-1.0,007/007456/007456521/dv/kplr007456521-20160209194854_dvr.pdf,5956,4.403,0.929,0.797,,14.973,0,7456521,train,0
FALSE POSITIVE,24.0612744,138.38747,2454971.387,0,0.461,19.9438,440150.0,0.1648,88.22,1161.1,1,-1.0,009/009658/009658118/dv/kplr009658118-20160209194854_dvr.pdf,6461,4.338,1.138,1.027,,14.158,0,9658118,train,0
